FacetCenters_0,FacetCenters_1,FacetCenters_2,FacetCenters_Magnitude,FacetIds,absFacetSize,angleWeights,cellPairingIds,facetNormals_0,facetNormals_1,facetNormals_2,facetNormals_Magnitude,interplanarAngles,relFacetSize
646.282,554.172,422.682,950.499,1,6421.24,0.0125984,8,0.0836783,-0.27227,-0.954419,0.996017,26.523,0.0127155
718.649,540.403,453.264,1006.95,2,6304.14,0.0171012,13,0.477988,-0.406852,-0.768717,0.992435,50.6783,0.0124836
505.814,649.838,486.855,956.643,3,13183,0.00998225,19,-0.604076,0.193544,-0.765717,0.994328,55.9498,0.0261052
716.464,689.855,463.578,1097.33,4,4149.13,0.011185,26,0.500072,0.520089,-0.686433,0.995869,59.4921,0.00821618
501.793,506.495,510.921,877.14,5,5041.55,0.0081056,34,-0.526221,-0.755778,-0.353047,0.986282,66.6153,0.00998337
813.991,546.575,573.366,1135.81,6,3004.16,0.0173707,43,0.879174,-0.423706,-0.216075,0.999581,77.0998,0.00594889
801.686,677.758,590.993,1204.71,7,13838.4,0.0215513,53,0.899442,0.342867,-0.250699,0.994687,100.964,0.0274031
626.175,771.463,611.695,1166.8,8,35669.9,0.0224992,64,-0.0245028,1.00183,-0.0882623,1.006,77.6579,0.0706341
635.773,489.515,621.244,1014.78,9,49279.6,0.0150371,76,0.0292809,-1.00206,0.064348,1.00455,89.2353,0.0975843
518.113,508.499,703.186,1010.68,10,9289.78,0.0148625,89,-0.394763,-0.889395,0.205259,0.994481,112.276,0.0183958
459.73,700.569,657.144,1064.89,11,9030.28,0.0162821,103,-0.816328,0.545242,0.166784,0.99574,103.038,0.0178819
455.986,574.47,688.188,1005.75,12,11427.9,0.012516,118,-0.90657,-0.329632,0.249106,0.996283,123.738,0.0226296
765.697,726.858,734.05,1285.86,13,6222.86,0.017258,134,0.620118,0.630616,0.449493,0.992102,130.314,0.0123226
740.266,601.232,777.527,1230.46,14,13559.3,0.0199572,151,0.577332,-0.211406,0.783176,0.995675,166.274,0.0268503
578.862,670.279,814.505,1203.23,15,23412,0.0168902,18,-0.26516,0.393449,0.862194,0.984119,77.0505,0.0463609
0,0,0,0,,,0.00991,25,0,0,0,0,55.8298,
0,0,0,0,,,0.0110944,33,0,0,0,0,70.4615,
0,0,0,0,,,0.00805789,42,0,0,0,0,40.1086,
0,0,0,0,,,0.017153,52,0,0,0,0,60.6972,
0,0,0,0,,,0.0212173,63,0,0,0,0,110.611,
0,0,0,0,,,0.0221354,75,0,0,0,0,68.0771,
0,0,0,0,,,0.0148737,88,0,0,0,0,89.1074,
0,0,0,0,,,0.0147029,102,0,0,0,0,138.51,
0,0,0,0,,,0.0160907,117,0,0,0,0,119.755,
0,0,0,0,,,0.0124026,133,0,0,0,0,108.088,
0,0,0,0,,,0.0170432,150,0,0,0,0,104.061,
0,0,0,0,,,0.0196705,168,0,0,0,0,166.478,
0,0,0,0,,,0.0124986,32,0,0,0,0,70.8894,
0,0,0,0,,,0.0144432,41,0,0,0,0,63.2154,
0,0,0,0,,,0.00968968,51,0,0,0,0,116.768,
0,0,0,0,,,0.0267384,62,0,0,0,0,106.748,
0,0,0,0,,,0.0381214,74,0,0,0,0,73.9665,
0,0,0,0,,,0.0411912,87,0,0,0,0,105.141,
0,0,0,0,,,0.0215827,101,0,0,0,0,95.2709,
0,0,0,0,,,0.0212249,116,0,0,0,0,61.598,
0,0,0,0,,,0.0242435,132,0,0,0,0,72.7905,
0,0,0,0,,,0.0167423,149,0,0,0,0,127.223,
0,0,0,0,,,0.0264725,167,0,0,0,0,177.894,
0,0,0,0,,,0.0334021,186,0,0,0,0,115.669,
0,0,0,0,,,0.00901397,50,0,0,0,0,114.921,
0,0,0,0,,,0.00690108,61,0,0,0,0,68.3284,
0,0,0,0,,,0.012642,73,0,0,0,0,36.1179,
0,0,0,0,,,0.0147201,86,0,0,0,0,55.3668,
0,0,0,0,,,0.0151563,100,0,0,0,0,123.399,
0,0,0,0,,,0.011359,115,0,0,0,0,143.965,
0,0,0,0,,,0.0112591,131,0,0,0,0,103.955,
0,0,0,0,,,0.0120554,148,0,0,0,0,143.328,
0,0,0,0,,,0.00985888,166,0,0,0,0,70.5166,
0,0,0,0,,,0.0125822,185,0,0,0,0,111.217,
0,0,0,0,,,0.0139586,205,0,0,0,0,122.032,
0,0,0,0,,,0.00745531,72,0,0,0,0,93.846,
0,0,0,0,,,0.014635,85,0,0,0,0,131.024,
0,0,0,0,,,0.0174941,99,0,0,0,0,135.948,
0,0,0,0,,,0.0181136,114,0,0,0,0,43.4555,
0,0,0,0,,,0.0129427,130,0,0,0,0,34.591,
0,0,0,0,,,0.0128132,147,0,0,0,0,92.4158,
0,0,0,0,,,0.0138546,165,0,0,0,0,49.4938,
0,0,0,0,,,0.0110303,184,0,0,0,0,169.344,
0,0,0,0,,,0.014555,204,0,0,0,0,115.355,
0,0,0,0,,,0.0164289,225,0,0,0,0,118.438,
0,0,0,0,,,0.00977561,98,0,0,0,0,45.276,
0,0,0,0,,,0.0109736,113,0,0,0,0,115.124,
0,0,0,0,,,0.0112141,129,0,0,0,0,64.2387,
0,0,0,0,,,0.00899042,146,0,0,0,0,90.8401,
0,0,0,0,,,0.00892773,164,0,0,0,0,171.643,
0,0,0,0,,,0.00942114,183,0,0,0,0,135.573,
0,0,0,0,,,0.00802407,203,0,0,0,0,79.4911,
0,0,0,0,,,0.00973984,224,0,0,0,0,64.5348,
0,0,0,0,,,0.0105447,246,0,0,0,0,126.572,
0,0,0,0,,,0.0394869,128,0,0,0,0,69.9186,
0,0,0,0,,,0.0427901,145,0,0,0,0,109.489,
0,0,0,0,,,0.0220137,163,0,0,0,0,135.992,
0,0,0,0,,,0.0216416,182,0,0,0,0,126.497,
0,0,0,0,,,0.0247887,202,0,0,0,0,179.135,
0,0,0,0,,,0.0170005,223,0,0,0,0,47.9241,
0,0,0,0,,,0.0271239,245,0,0,0,0,75.3518,
0,0,0,0,,,0.0344459,268,0,0,0,0,109.065,
0,0,0,0,,,0.0819504,162,0,0,0,0,178.612,
0,0,0,0,,,0.0291895,181,0,0,0,0,154.034,
0,0,0,0,,,0.0285389,201,0,0,0,0,56.5937,
0,0,0,0,,,0.0342775,222,0,0,0,0,109.224,
0,0,0,0,,,0.0209844,244,0,0,0,0,54.6885,
0,0,0,0,,,0.0389098,267,0,0,0,0,107.132,
0,0,0,0,,,0.0559795,291,0,0,0,0,70.8626,
0,0,0,0,,,0.030956,200,0,0,0,0,26.6499,
0,0,0,0,,,0.0302252,221,0,0,0,0,124.013,
0,0,0,0,,,0.0367394,243,0,0,0,0,71.3653,
0,0,0,0,,,0.021882,266,0,0,0,0,125.932,
0,0,0,0,,,0.0421132,290,0,0,0,0,73.7944,
0,0,0,0,,,0.0628586,315,0,0,0,0,110.52,
0,0,0,0,,,0.0181352,242,0,0,0,0,97.4529,
0,0,0,0,,,0.0202942,265,0,0,0,0,44.8695,
0,0,0,0,,,0.0147589,289,0,0,0,0,136.309,
0,0,0,0,,,0.0218332,314,0,0,0,0,82.9886,
0,0,0,0,,,0.02634,340,0,0,0,0,94.0008,
0,0,0,0,,,0.0199776,288,0,0,0,0,52.6482,
0,0,0,0,,,0.0145907,313,0,0,0,0,95.0765,
0,0,0,0,,,0.0214671,339,0,0,0,0,117.379,
0,0,0,0,,,0.025809,366,0,0,0,0,54.0869,
0,0,0,0,,,0.0159564,338,0,0,0,0,131.743,
0,0,0,0,,,0.02456,365,0,0,0,0,105.112,
0,0,0,0,,,0.0304137,393,0,0,0,0,70.6124,
0,0,0,0,,,0.0168926,392,0,0,0,0,54.2785,
0,0,0,0,,,0.0194701,421,0,0,0,0,61.1413,
0,0,0,0,,,0.0340058,450,0,0,0,0,63.384,
